Barrio;Deporte;Comprar;Restaurantes;Fiesta;Museos;Naturaleza;Cursos;Pasear;Tranquilo;Familiar;Seguro;Concurrido;Limpio;Trendy;Multicultural;Barato;Verde;Adinerado;Clásico;Coche;Metro;Bus;Bicicleta;Soltero;Estudiante;Pareja;Familia;Jubilado
   025. Delicias;1.38;3;4;3;0.44;0.97;2.1;5;3.78;1.41;3.78;2.94;1.55;4;1.28;-1.84;0.51;1.55;0.27;1.46;1.67;5;0.98;0.8;1.31;0.8;1.99;2.44
   026. Palos de Moguer;1.38;3;4;3;0.44;0.97;2.1;5;3.78;1.41;3.78;4.35;1.15;4;1.74;-1.83;0.51;1.15;0.27;1.46;1.67;5;0.8;0.8;1.31;0.8;1.99;2.44
   027. Atocha;1.38;4;4;4;0.44;0.97;2.1;5;3.78;1.41;3.78;0.21;1.52;4;0.43;-1.63;0.51;1.52;0.27;1.46;1.67;5;0.27;0.8;1.31;0.8;1.99;2.44
   031. Pacífico;1.1;4;5;4;2.2;1.4;2.1;5;4.14;0.83;4.14;4.77;1.68;4;0.94;-2.02;0.34;1.68;3.04;2.94;0.83;5;0.27;0.13;3.46;0.13;2.05;4.6
   032. Adelfas;1.1;4;5;4;2.2;1.4;2.1;5;4.14;0.83;4.14;3.18;2.01;4;0.52;-1.94;0.34;2.01;3.04;2.94;0.83;5;0.27;0.13;3.46;0.13;2.05;4.6
   033. Estrella;1.1;4;5;5;2.2;1.4;2.1;5;4.14;0.83;4.14;2.46;2.99;4;0.14;-2.06;0.34;2.99;3.04;2.94;0.83;5;1.34;0.13;3.46;0.13;2.05;4.6
   034. Ibiza;1.1;5;5;5;2.2;1.4;2.1;5;4.14;0.83;4.14;4.79;2.05;4;1.26;-2.86;0.34;2.05;3.04;2.94;0.83;5;0.27;0.13;3.46;0.13;2.05;4.6
   035. Jerónimos;1.1;3;5;3;2.2;1.4;2.1;5;4.14;0.83;4.14;0.4;3.66;4;1.33;-4.05;0.34;3.66;3.04;2.94;0.83;5;1.25;0.13;3.46;0.13;2.05;4.6
   036. Niño Jesús;1.1;4;5;3;2.2;1.4;2.1;5;4.14;0.83;4.14;2.6;3.52;4;0.35;-2.57;0.34;3.52;3.04;2.94;0.83;5;0.27;0.13;3.46;0.13;2.05;4.6
   041. Recoletos;0.09;5;5;5;1.49;0.23;1.18;5;4.23;1.05;4.23;1.96;4.28;4;2.24;-5;0.06;4.28;0.74;5;2.92;5;0.27;0.13;0.88;0.13;1.56;3.97
   042. Goya;0.09;5;5;4;1.49;0.23;1.18;5;4.23;1.05;4.23;4.19;2.36;4;1.79;-3.18;0.06;2.36;0.74;5;2.92;5;0.27;0.13;0.88;0.13;1.56;3.97
   043. Fuente del Berro;0.09;5;5;4;1.49;0.23;1.18;5;4.23;1.05;4.23;2.69;1.63;4;1.4;-2.26;0.06;1.63;0.74;5;2.92;5;0.27;0.13;0.88;0.13;1.56;3.97
   044. Guindalera;0.09;5;5;4;1.49;0.23;1.18;5;4.23;1.05;4.23;2.86;2.05;4;1.15;-2.01;0.06;2.05;0.74;5;2.92;5;0.27;0.13;0.88;0.13;1.56;3.97
   045. Lista;0.09;5;5;4;1.49;0.23;1.18;5;4.23;1.05;4.23;4.39;2.36;4;1.68;-3.26;0.06;2.36;0.74;5;2.92;5;0.27;0.13;0.88;0.13;1.56;3.97
   046. Castellana;0.09;5;5;5;1.49;0.23;1.18;5;4.23;1.05;4.23;2.42;4.26;4;2.1;-3.98;0.06;4.26;0.74;5;2.92;5;0.71;0.13;0.88;0.13;1.56;3.97
   051. El Viso;0.26;1;4;4;0.57;0.08;2.42;5;4.14;1.58;4.14;1.11;4.18;3;1.19;-3.67;0.02;4.18;0.68;2.53;2.92;5;0.71;0.69;2.26;0.69;2.7;3.8
   052. Prosperidad;0.26;2;4;4;0.57;0.08;2.42;5;4.14;1.58;4.14;3.82;1.82;3;1.09;-2.15;0.02;1.82;0.68;2.53;2.92;5;0.71;0.69;2.26;0.69;2.7;3.8
   053. Ciudad Jardín;0.26;3;4;4;0.57;0.08;2.42;5;4.14;1.58;4.14;2.67;1.97;3;1.35;-2.32;0.02;1.97;0.68;2.53;2.92;5;1.25;0.69;2.26;0.69;2.7;3.8
   054. Hispanoamérica;0.26;4;4;4;0.57;0.08;2.42;5;4.14;1.58;4.14;2.02;3.41;3;0.68;-2.89;0.02;3.41;0.68;2.53;2.92;5;1.07;0.69;2.26;0.69;2.7;3.8
   055. Nueva España;0.26;3;4;4;0.57;0.08;2.42;5;4.14;1.58;4.14;1.51;4.02;3;0.89;-3.22;0.02;4.02;0.68;2.53;2.92;5;1.25;0.69;2.26;0.69;2.7;3.8
   056. Castilla;0.26;4;4;4;0.57;0.08;2.42;5;4.14;1.58;4.14;0.86;2.84;3;0.94;-2.12;0.02;2.84;0.68;2.53;2.92;5;0.54;0.69;2.26;0.69;2.7;3.8
   061. Bellas Vistas;0.32;3;3;3;0.13;0.32;1.17;5;3.34;1.34;3.34;4.51;0.88;3;3.13;-1.42;0.04;0.88;0.14;1.99;0.83;5;0.8;0.79;2.32;0.79;1.73;2.36
   062. Cuatro Caminos;0.32;4;3;4;0.13;0.32;1.17;5;3.34;1.34;3.34;3.21;1.78;3;1.84;-2.19;0.04;1.78;0.14;1.99;0.83;5;0.8;0.79;2.32;0.79;1.73;2.36
   063. Castillejos;0.32;4;3;3;0.13;0.32;1.17;5;3.34;1.34;3.34;3.19;1.94;3;1.82;-2.18;0.04;1.94;0.14;1.99;0.83;5;0.71;0.79;2.32;0.79;1.73;2.36
   064. Almenara;0.32;3;3;3;0.13;0.32;1.17;5;3.34;1.34;3.34;2.49;0.74;3;2.01;-1.39;0.04;0.74;0.14;1.99;0.83;5;0.8;0.79;2.32;0.79;1.73;2.36
   065. Valdeacederas;0.32;3;3;2;0.13;0.32;1.17;5;3.34;1.34;3.34;2.5;0.64;3;2.97;-1.38;0.04;0.64;0.14;1.99;0.83;5;1.07;0.79;2.32;0.79;1.73;2.36
   066. Berruguete;0.32;3;3;2;0.13;0.32;1.17;5;3.34;1.34;3.34;4.63;0.73;3;3.23;-1.35;0.04;0.73;0.14;1.99;0.83;5;0.36;0.79;2.32;0.79;1.73;2.36
   071. Gaztambide;0;5;5;5;0.51;0;1.17;5;4.36;0.84;4.36;4.96;1.8;5;1.28;-2.3;0;1.8;0.34;2.74;1.25;5;0.36;0.01;0;0.01;4.25;4.07
   072. Arapiles;0;5;5;5;0.51;0;1.17;5;4.36;0.84;4.36;4.59;1.82;5;1.28;-2.66;0;1.82;0.34;2.74;1.25;5;0.36;0.01;0;0.01;4.25;4.07
   073. Trafalgar;0;5;5;5;0.51;0;1.17;5;4.36;0.84;4.36;4.4;1.77;5;1.64;-2.89;0;1.77;0.34;2.74;1.25;5;1.07;0.01;0;0.01;4.25;4.07
   074. Almagro;0;5;5;5;0.51;0;1.17;5;4.36;0.84;4.36;2.28;3.37;5;1.6;-3.64;0;3.37;0.34;2.74;1.25;5;0.89;0.01;0;0.01;4.25;4.07
   075. Ríos Rosas;0;5;5;5;0.51;0;1.17;5;4.36;0.84;4.36;3.05;2.31;5;1.21;-2.82;0;2.31;0.34;2.74;1.25;5;1.25;0.01;0;0.01;1.38;4.07
   076. Vallehermoso;0;5;5;5;0.51;0;1.17;5;4.36;0.84;4.36;2.05;2.85;5;0.49;-2.65;0;2.85;0.34;2.74;1.25;5;1.96;0.01;0;0.01;1.38;4.07
   081. El Pardo;2.27;2;3;1;0.26;0;3.45;5;4.36;5;4.36;0;1.26;2;0.01;-3.16;0;1.26;0.34;1.99;5;5;1.96;1.92;0.74;1.92;4.49;2.74
   082. Fuentelarreina;2.27;2;4;1;0.26;0;3.45;5;4.36;5;4.36;0.26;4.91;2;0.68;-1.47;0;4.91;0.34;1.99;5;5;1.96;1.92;0.74;1.92;4.49;2.74
   083. Peñagrande;2.27;2;3;1;0.26;0;3.45;5;4.36;5;4.36;1.68;1.96;2;0.67;-1.52;0;1.96;0.34;1.99;5;5;1.96;1.92;0.74;1.92;4.49;2.74
   084. Pilar;2.27;3;3;1;0.26;0;3.45;5;4.36;5;4.36;3.69;1.02;2;1.36;-1.36;0;1.02;0.34;1.99;5;5;1.96;1.92;0.74;1.92;4.49;2.74
   085. La Paz;2.27;3;3;1;0.26;0;3.45;5;4.36;5;4.36;1.67;2.88;2;0.25;-1.7;0;2.88;0.34;1.99;5;5;1.96;1.92;0.74;1.92;4.49;2.74
   086. Valverde;2.27;3;4;1;0.26;0;3.45;5;4.36;5;4.36;0.78;1.78;2;1.27;-1.71;0;1.78;0.34;1.99;5;5;1.88;1.92;0.74;1.92;4.49;2.74
   087. Mirasierra;2.27;3;3;1;0.26;0;3.45;5;4.36;5;4.36;0.54;3.62;2;0.19;-0.91;0;3.62;0.34;1.99;5;5;1.34;1.92;0.74;1.92;4.49;2.74
   088. El Goloso;2.27;3;3;1;0.26;0;3.45;5;4.36;5;4.36;0.08;3.27;2;0.23;-1.96;0;3.27;0.34;1.99;5;5;0.89;1.92;0.74;1.92;4.49;2.74
   091. Casa de Campo;3.26;0;3;0;2.32;3.42;3.45;5;4.39;1.18;4.39;0.08;1.69;3;0.77;-1.84;0.41;1.69;1.69;1.88;0.42;5;1.61;0.98;0;0.98;2.89;3.22
   092. Argüelles;3.26;5;5;5;2.32;3.42;3.45;5;4.39;1.18;4.39;3.49;2.4;5;1.53;-2.48;0.41;2.4;1.69;1.88;0.42;5;0.54;0.98;0;0.98;2.89;3.22
   093. Ciudad Universitaria;3.26;1;2;5;2.32;3.42;3.45;5;4.39;1.18;4.39;0.12;3.12;5;0.79;-1.78;0.41;3.12;1.69;1.88;0.42;5;0.8;0.98;0;0.98;2.89;3.22
   094. Valdezarza;3.26;3;3;5;2.32;3.42;3.45;5;4.39;1.18;4.39;2.35;1.15;3;1.28;-1.14;0.41;1.15;1.69;1.88;0.42;5;0.54;0.98;0;0.98;2.89;3.22
   095. Valdemarín;3.26;3;4;3;2.32;3.42;3.45;5;4.39;1.18;4.39;0.23;4.93;4;0.73;-1.94;0.41;4.93;1.69;1.88;0.42;5;0;0.98;0;0.98;2.89;3.22
   096. El Plantío;3.26;2;2;2;2.32;3.42;3.45;5;4.39;1.18;4.39;0.09;5;4;1.11;-0.99;0.41;5;1.69;1.88;0.42;5;0.09;0.98;0;0.98;2.89;3.22
   097. Aravaca;3.26;3;5;3;2.32;3.42;3.45;5;4.39;1.18;4.39;0.52;3.66;4;0.88;-1.9;0.41;3.66;1.69;1.88;0.42;5;0.98;0.98;0;0.98;2.89;3.22
   101. Los Cármenes;4.7;4;5;5;0.28;1.26;1.92;5;5;2.9;5;1.49;0.73;3;1.92;-0.66;2.32;0.73;0.27;1.89;2.92;5;0.98;0.29;0;0.29;1.99;4.23
   102. Puerta del Angel;4.7;3;5;5;0.28;1.26;1.92;5;5;2.9;5;3.34;0.61;4;2.61;-0.83;2.32;0.61;0.27;1.89;2.92;5;0.98;0.29;0;0.29;1.99;4.23
   103. Lucero;4.7;3;5;3;0.28;1.26;1.92;5;5;2.9;5;2.38;0.77;3;2.28;-0.59;2.32;0.77;0.27;1.89;2.92;5;0.71;0.29;0;0.29;1.99;4.23
   104. Aluche;4.7;3;5;3;0.28;1.26;1.92;5;5;2.9;5;2.57;0.81;2;2.06;-0.58;2.32;0.81;0.27;1.89;2.92;5;0.8;0.29;0;0.29;1.99;4.23
   105. Campamento;4.7;3;5;3;0.28;1.26;1.92;5;5;2.9;5;0.23;0.87;2;2.46;-0.53;2.32;0.87;0.27;1.89;2.92;5;0.18;0.29;0;0.29;1.99;4.23
   106. Cuatro Vientos;4.7;3;5;2;0.28;1.26;1.92;5;5;2.9;5;0.12;1.15;2;0.8;-0.63;2.32;1.15;0.27;1.89;2.92;5;0.09;0.29;0;0.29;1.99;4.23
   107. Las Águilas;4.7;3;5;2;0.28;1.26;1.92;5;5;2.9;5;1.56;0.75;2;1.32;-0.57;2.32;0.75;0.27;1.89;2.92;5;1.34;0.29;0;0.29;1.99;4.23
   111. Comillas;0.61;3;3;2;0.44;1.74;5;5;3.45;4.04;3.45;3.73;0.59;3;2.44;-0.98;0.27;0.59;0.34;1.45;2.92;5;1.34;1.55;0.94;1.55;2.94;2.29
   112. Opañel;0.61;2;3;2;0.44;1.74;5;5;3.45;4.04;3.45;3.33;0.63;3;2.88;-0.64;0.27;0.63;0.34;1.45;2.92;5;1.34;1.55;0.94;1.55;2.94;2.29
   113. San Isidro;0.61;3;3;2;0.44;1.74;5;5;3.45;4.04;3.45;2.29;0.5;3;2.71;-0.6;0.27;0.5;0.34;1.45;2.92;5;1.34;1.55;0.94;1.55;2.94;2.29
   114. Vista Alegre;0.61;2;3;2;0.44;1.74;5;5;3.45;4.04;3.45;3.24;0.58;3;3.18;-0.5;0.27;0.58;0.34;1.45;2.92;5;1.34;1.55;0.94;1.55;2.94;2.29
   115. Puerta Bonita;0.61;2;3;2;0.44;1.74;5;5;3.45;4.04;3.45;2.44;0.45;3;3.14;-0.4;0.27;0.45;0.34;1.45;2.92;5;1.34;1.55;0.94;1.55;2.94;2.29
   116. Buenavista;0.61;3;3;2;0.44;1.74;5;5;3.45;4.04;3.45;0.93;0.88;3;1.56;-0.4;0.27;0.88;0.34;1.45;2.92;5;1.34;1.55;0.94;1.55;2.94;2.29
   117. Abrantes;0.61;3;3;2;0.44;1.74;5;5;3.45;4.04;3.45;2.2;0.63;3;2.87;-0.4;0.27;0.63;0.34;1.45;2.92;5;1.34;1.55;0.94;1.55;2.94;2.29
   121. Orcasitas;2.59;2;2;1;0.36;1.35;0.89;5;2.02;1.78;2.02;1.86;0.59;2;0.92;-0.31;0.25;0.59;0.14;0.34;0.42;5;1.34;2.2;0.6;2.2;3.23;1.63
   122. Orcasur;2.59;2;2;1;0.36;1.35;0.89;5;2.02;1.78;2.02;1.11;0.44;2;2.11;-0.35;0.25;0.44;0.14;0.34;0.42;5;1.34;2.2;0.6;2.2;3.23;1.63
   123. San Fermín;2.59;3;3;1;0.36;1.35;0.89;5;2.02;1.78;2.02;1.77;0.45;2;2.49;-0.35;0.25;0.45;0.14;0.34;0.42;5;1.34;2.2;0.6;2.2;3.23;1.63
   124. Almendrales;2.59;3;3;1;0.36;1.35;0.89;5;2.02;1.78;2.02;3.16;0.48;3;3.57;-0.43;0.25;0.48;0.14;0.34;0.42;5;1.34;2.2;0.6;2.2;3.23;1.63
   125. Moscardó;2.59;2;2;1;0.36;1.35;0.89;5;2.02;1.78;2.02;3.2;0.5;3;3.55;-0.66;0.25;0.5;0.14;0.34;0.42;5;1.34;2.2;0.6;2.2;3.23;1.63
   126. Zofio;2.59;2;3;1;0.36;1.35;0.89;5;2.02;1.78;2.02;2.03;0.46;3;3.41;-0.41;0.25;0.46;0.14;0.34;0.42;5;1.34;2.2;0.6;2.2;3.23;1.63
   127. Pradolongo;2.59;2;3;1;0.36;1.35;0.89;5;2.02;1.78;2.02;1.79;0.26;3;4.36;-0.4;0.25;0.26;0.14;0.34;0.42;5;1.34;2.2;0.6;2.2;3.23;1.63
   131. Entrevías;4.11;2;2;1;0.41;1.57;0.89;5;1.33;3.37;1.33;0.64;0.22;2;2.03;-0.08;0.4;0.22;0.41;0.17;0.83;5;1.34;1.61;1.45;1.61;2.66;1.93
   132. San Diego;4.11;2;3;1;0.41;1.57;0.89;5;1.33;3.37;1.33;4.46;0.14;2;4.12;-0.4;0.4;0.14;0.41;0.17;0.83;5;1.34;1.61;1.45;1.61;2.66;1.93
   133. Palomeras Bajas;4.11;2;3;1;0.41;1.57;0.89;5;1.33;3.37;1.33;2.57;0.68;2;1.72;-0.39;0.4;0.68;0.41;0.17;0.83;5;1.34;1.61;1.45;1.61;2.66;1.93
   134. Palomeras Sureste;4.11;2;3;1;0.41;1.57;0.89;5;1.33;3.37;1.33;1.51;0.55;2;1.46;-0.38;0.4;0.55;0.41;0.17;0.83;5;1.34;1.61;1.45;1.61;2.66;1.93
   135. Portazgo;4.11;2;2;1;0.41;1.57;0.89;5;1.33;3.37;1.33;2.52;0.32;2;1.9;-0.39;0.4;0.32;0.41;0.17;0.83;5;1.34;1.61;1.45;1.61;2.66;1.93
   136. Numancia;4.11;2;3;1;0.41;1.57;0.89;5;1.33;3.37;1.33;2.85;0.39;2;2.93;-0.51;0.4;0.39;0.41;0.17;0.83;5;1.34;1.61;1.45;1.61;2.66;1.93
   141. Pavones;5;3;3;1;0.04;0.86;1.64;5;4.5;0.28;4.5;0.97;1.04;1;0.95;-0.82;0.26;1.04;0.07;1.98;0;5;1.34;0;0.78;0;1.71;5
   142. Horcajo;5;3;3;1;0.04;0.86;1.64;5;4.5;0.28;4.5;0.93;1.87;1;0.45;-0.82;0.26;1.87;0.07;1.98;0;5;1.34;0;0.78;0;1.71;5
   143. Marroquina;5;3;3;1;0.04;0.86;1.64;5;4.5;0.28;4.5;1.63;1.52;1;0.5;-1.09;0.26;1.52;0.07;1.98;0;5;1.34;0;0.78;0;1.71;5
   144. Media Legua;5;3;2;1;0.04;0.86;1.64;5;4.5;0.28;4.5;1.93;1.17;1;1.03;-0.89;0.26;1.17;0.07;1.98;0;5;1.34;0;0.78;0;1.71;5
   145. Fontarrón;5;3;3;1;0.04;0.86;1.64;5;4.5;0.28;4.5;1.96;0.62;1;2.09;-0.66;0.26;0.62;0.07;1.98;0;5;1.34;0;0.78;0;1.71;5
   146. Vinateros;5;3;3;1;0.04;0.86;1.64;5;4.5;0.28;4.5;3.1;0.68;1;1.5;-0.81;0.26;0.68;0.07;1.98;0;5;1.34;0;0.78;0;1.71;5
   151. Ventas;1.01;3;3;3;0.36;0.41;1.23;5;4.53;2.59;4.53;1.65;0.66;3;2.5;-0.84;0.19;0.66;0.14;1.82;2.08;5;1.34;0.49;2.73;0.49;2.09;3.72
   152. Pueblo Nuevo;1.01;3;3;3;0.36;0.41;1.23;5;4.53;2.59;4.53;2.96;0.77;3;2.64;-0.83;0.19;0.77;0.14;1.82;2.08;5;1.34;0.49;2.73;0.49;2.09;3.72
   153. Quintana;1.01;3;3;3;0.36;0.41;1.23;5;4.53;2.59;4.53;3.72;0.78;3;2.71;-1.1;0.19;0.78;0.14;1.82;2.08;5;1.34;0.49;2.73;0.49;2.09;3.72
   154. Concepción;1.01;3;3;3;0.36;0.41;1.23;5;4.53;2.59;4.53;2.56;1.14;3;1.78;-1.34;0.19;1.14;0.14;1.82;2.08;5;1.34;0.49;2.73;0.49;2.09;3.72
   155. San Pascual;1.01;4;3;3;0.36;0.41;1.23;5;4.53;2.59;4.53;1.85;1.63;3;0.87;-1.46;0.19;1.63;0.14;1.82;2.08;5;1.34;0.49;2.73;0.49;2.09;3.72
   156. San Juan Bautista;1.01;3;3;3;0.36;0.41;1.23;5;4.53;2.59;4.53;1.35;2.84;3;0.91;-2.13;0.19;2.84;0.14;1.82;2.08;5;1.34;0.49;2.73;0.49;2.09;3.72
   157. Colina;1.01;2;3;3;0.36;0.41;1.23;5;4.53;2.59;4.53;1.24;2.48;3;1.06;-2.45;0.19;2.48;0.14;1.82;2.08;5;1.34;0.49;2.73;0.49;2.09;3.72
   158. Atalaya;1.01;2;3;3;0.36;0.41;1.23;5;4.53;2.59;4.53;0.69;3.45;3;0.97;-1.14;0.19;3.45;0.14;1.82;2.08;5;1.34;0.49;2.73;0.49;2.09;3.72
   159. Costillares;1.01;3;3;3;0.36;0.41;1.23;5;4.53;2.59;4.53;1.69;3.48;3;0.34;-2.04;0.19;3.48;0.14;1.82;2.08;5;1.34;0.49;2.73;0.49;2.09;3.72
   161. Palomas;3.22;3;3;2;0.96;5;1.18;5;4.31;3.52;4.31;0.67;4.55;3;0.94;-2.02;5;4.55;0.07;1.18;4.58;5;1.34;2.41;3.04;2.41;4.42;2
   162. Piovera;3.22;2;3;2;0.96;5;1.18;5;4.31;3.52;4.31;0.52;4.55;3;1.51;-2.33;5;4.55;0.07;1.18;4.58;5;1.34;2.41;3.04;2.41;4.42;2
   163. Canillas;3.22;2;3;2;0.96;5;1.18;5;4.31;3.52;4.31;1.75;1.52;3;0.86;-1.38;5;1.52;0.07;1.18;4.58;5;1.34;2.41;3.04;2.41;4.42;2
   164. Pinar del Rey;3.22;1;3;2;0.96;5;1.18;5;4.31;3.52;4.31;2.15;1.04;3;1.3;-1.09;5;1.04;0.07;1.18;4.58;5;1.34;2.41;3.04;2.41;4.42;2
   165. Apóstol Santiago;3.22;2;3;2;0.96;5;1.18;5;4.31;3.52;4.31;1.4;1.26;3;1.11;-1.15;5;1.26;0.07;1.18;4.58;5;1.34;2.41;3.04;2.41;4.42;2
   166. Valdefuentes;3.22;3;3;2;0.96;5;1.18;5;4.31;3.52;4.31;0.41;2.63;3;0.97;-2.03;5;2.63;0.07;1.18;4.58;5;1.34;2.41;3.04;2.41;4.42;2
   171. Villaverde Alto, C.H. Villaverde;1.73;2;3;2;0.31;0.92;2.74;5;0;2.26;0;0.55;0.4;1;2.74;-0.22;0.58;0.4;0.07;0.27;0.42;5;1.34;2.48;0;2.48;3.72;1.66
   172. San Cristóbal;1.73;3;3;2;0.31;0.92;2.74;5;0;2.26;0;1.72;0;1;5;0;0.58;0;0.07;0.27;0.42;5;1.34;2.48;0;2.48;3.72;1.66
   173. Butarque;1.73;4;3;2;0.31;0.92;2.74;5;0;2.26;0;0.35;0.73;1;1.69;-0.59;0.58;0.73;0.07;0.27;0.42;5;1.34;2.48;0;2.48;3.72;1.66
   174. Los Rosales;1.73;2;3;2;0.31;0.92;2.74;5;0;2.26;0;2.68;0.65;1;2.58;-0.28;0.58;0.65;0.07;0.27;0.42;5;1.34;2.48;0;2.48;3.72;1.66
   175. Los Ángeles;1.73;1;3;2;0.31;0.92;2.74;5;0;2.26;0;1.85;0.63;1;2.26;-0.34;0.58;0.63;0.07;0.27;0.42;5;1.34;2.48;0;2.48;3.72;1.66
   181. Casco Histórico de Vallecas;1.27;4;3;2;0.2;0.25;0;5;2.71;1.79;2.71;0.1;0.37;3;1.94;-0.39;0.02;0.37;0.07;0.23;0.83;5;1.34;3.45;0.68;5;3.54;0
   182. Santa Eugenia;1.27;3;3;2;0.2;0.25;0;5;2.71;1.79;2.71;1.28;1.24;3;0.79;-0.66;0.02;1.24;0.07;0.23;0.83;5;1.34;2.56;0.68;5;3.23;0
   183. Ensanche de Vallecas;1.27;3;3;2;0.2;0.25;0;5;2.71;1.79;2.71;0.86;0.99;3;1.25;-1.1;0.02;0.99;0.07;0.23;0.83;5;1.34;4.54;0.68;5;5;0
   191. Casco Histórico de Vicálvaro;2.29;3;4;2;0;0.92;0;5;2.85;0.6;2.85;0.18;0.35;3;2.26;-0.49;0.27;0.35;0;0.19;0.42;5;1.34;3.78;1.78;3.78;4.34;0.72
   192. Valdebernardo;2.29;2;4;2;0;0.92;0;5;2.85;0.6;2.85;0.75;1.44;3;0.66;-1.16;0.27;1.44;0;0.19;0.42;5;1.34;3.78;1.78;3.78;4.34;0.72
   193. Valderrivas;2.29;2;4;2;0;0.92;0;5;2.85;0.6;2.85;3.05;1.53;3;0;-0.74;0.27;1.53;0;0.19;0.42;5;1.34;3.78;1.78;3.78;4.34;0.72
   194. El Cañaveral;2.29;2;4;2;0;0.92;0;5;2.85;0.6;2.85;0.04;0.94;4;0.91;-1.07;0.27;0.94;0;0.19;0.42;5;1.34;3.78;1.78;3.78;4.34;0.72
   201. Simancas;1;3;4;2;0.39;0.75;2.01;5;3.76;2.12;3.76;1.37;0.88;3;2.41;-0.88;0.17;0.88;0.14;0.95;2.08;5;1.34;1.88;2.75;1.88;3.06;1.91
   202. Hellín;1;2;4;2;0.39;0.75;2.01;5;3.76;2.12;3.76;1.86;0.33;3;2.05;-0.44;0.17;0.33;0.14;0.95;2.08;5;1.34;1.88;2.75;1.88;3.06;1.91
   203. Amposta;1;2;4;2;0.39;0.75;2.01;5;3.76;2.12;3.76;2.62;0.18;3;2.75;-0.33;0.17;0.18;0.14;0.95;2.08;5;1.34;1.88;2.75;1.88;3.06;1.91
   204. Arcos;1;3;4;2;0.39;0.75;2.01;5;3.76;2.12;3.76;2.06;0.71;3;1.34;-0.48;0.17;0.71;0.14;0.95;2.08;5;1.34;1.88;2.75;1.88;3.06;1.91
   205. Rosas;1;2;4;2;0.39;0.75;2.01;5;3.76;2.12;3.76;0.37;1.81;3;0.28;-1.4;0.17;1.81;0.14;0.95;2.08;5;1.34;1.88;2.75;1.88;3.06;1.91
   206. Rejas;1;2;4;2;0.39;0.75;2.01;5;3.76;2.12;3.76;0.37;1.39;3;2.12;-1.25;0.17;1.39;0.14;0.95;2.08;5;1.34;1.88;2.75;1.88;3.06;1.91
   207. Canillejas;1;2;4;2;0.39;0.75;2.01;5;3.76;2.12;3.76;1.98;0.88;3;1.93;-0.69;0.17;0.88;0.14;0.95;2.08;5;1.34;1.88;2.75;1.88;3.06;1.91
   208. Salvador;1;3;4;2;0.39;0.75;2.01;5;3.76;2.12;3.76;0.66;2.56;3;0.73;-1.49;0.17;2.56;0.14;0.95;2.08;5;1.34;1.88;2.75;1.88;3.06;1.91
   211. Alameda de Osuna;0.42;2;3;1;1.34;1.83;0.79;5;4.34;0;4.34;1.09;2.44;2;0.46;-1.55;0.29;2.44;0.14;0;1.25;5;1.34;2.6;2.75;2.6;4.45;1.56
